State,Year,Degree,Count
Connecticut,1977,Undergraduate,21
Connecticut,1977,Professional,3
Connecticut,1977,Graduate,31
Connecticut,1976,Undergraduate,12
Connecticut,1976,Professional,1
Connecticut,1976,Graduate,34
Connecticut,1975,Undergraduate,8
Connecticut,1975,Professional,1
Connecticut,1975,Graduate,38
Delaware,2017,Undergraduate,5
Delaware,2017,Professional,3
Delaware,2017,Graduate,0
Delaware,2016,Undergraduate,6
Delaware,2016,Professional,3
Delaware,2016,Graduate,0
Delaware,2015,Undergraduate,4
Delaware,2015,Professional,4
Delaware,2015,Graduate,0
Delaware,2014,Undergraduate,7
Delaware,2014,Professional,5
Delaware,2014,Graduate,0
Delaware,2013,Undergraduate,6
